id,begin,end,utterance_id,word_id,pronunciation_id
40,20.030000686645508,20.139999389648438,1,119084,124313
41,20.139999389648438,21.25,1,78783,82534
42,21.25,21.690000534057617,1,1,1
43,21.690000534057617,22.049999237060547,1,163804,171110
44,22.049999237060547,23.149999618530273,1,1,1
45,23.149999618530273,23.899999618530273,1,103665,108443
46,23.899999618530273,24.209999084472656,1,170252,177801
47,24.209999084472656,24.239999771118164,1,84688,88643
48,24.239999771118164,24.8700008392334,1,49733,52080
49,24.8700008392334,25.1200008392334,1,192146,200459
50,25.1200008392334,26.1299991607666,1,157057,164165
51,26.1299991607666,26.739999771118164,1,1,1
52,26.739999771118164,27.739999771118164,1,198568,207334
53,27.739999771118164,28.649999618530273,1,1,1
54,28.649999618530273,29.6299991607666,1,84688,88643
55,29.6299991607666,30.170000076293945,1,1,1
56,30.170000076293945,30.270000457763672,1,78175,81891
57,30.270000457763672,30.639999389648438,1,176369,184146
58,30.639999389648438,31.049999237060547,1,101828,106548
59,31.049999237060547,31.790000915527344,1,194695,203329
60,31.790000915527344,31.81999969482422,1,124915,130362
61,31.81999969482422,32.4900016784668,1,69637,73086
62,32.4900016784668,32.790000915527344,1,1,1
63,32.790000915527344,32.88999938964844,1,198630,207399
64,32.88999938964844,34.279998779296875,1,62360,65496
65,34.279998779296875,34.34000015258789,1,127249,132790
66,34.34000015258789,35.619998931884766,1,124684,130091
67,35.619998931884766,35.880001068115234,1,1,1
68,35.880001068115234,35.939998626708984,1,119084,124313
69,35.939998626708984,36.08000183105469,1,76317,79966
70,36.08000183105469,36.279998779296875,1,198579,207347
71,36.279998779296875,36.540000915527344,1,71953,75457
72,36.540000915527344,36.790000915527344,1,170252,177801
73,36.790000915527344,37.2599983215332,1,72019,75524
74,37.2599983215332,37.290000915527344,1,1,1
75,37.290000915527344,37.459999084472656,1,104712,109521
76,37.459999084472656,37.79999923706055,1,1,1
77,37.79999923706055,39.060001373291016,1,95072,99603
78,39.060001373291016,39.38999938964844,1,1,1
79,39.38999938964844,39.560001373291016,1,110943,115915
80,39.560001373291016,40.279998779296875,1,1,1
81,40.279998779296875,42.61000061035156,1,28327,29577
82,42.61000061035156,43.130001068115234,1,1,1
83,43.130001068115234,43.209999084472656,1,84699,88656
84,43.209999084472656,43.84000015258789,1,4210,4487
85,43.84000015258789,44.02000045776367,1,4210,4486
86,44.02000045776367,44.189998626708984,1,119297,124528
87,44.189998626708984,44.29999923706055,1,119297,124528
88,44.29999923706055,44.75,1,119297,124528
89,44.75,45.33000183105469,1,119297,124528
90,45.33000183105469,45.959999084472656,1,1,1
91,45.959999084472656,46.15999984741211,1,119297,124528
92,46.15999984741211,46.29999923706055,1,119297,124528
93,46.29999923706055,46.33000183105469,1,1,1
94,46.33000183105469,46.75,1,119297,124528
95,46.75,46.95000076293945,1,119297,124528
96,46.95000076293945,47.06999969482422,1,119297,124528
97,47.06999969482422,47.2599983215332,1,1,1
98,47.2599983215332,47.36000061035156,1,119297,124528
99,47.36000061035156,47.43000030517578,1,119297,124528
100,47.43000030517578,47.459999084472656,1,1,1
101,47.459999084472656,47.65999984741211,1,119297,124528
102,47.65999984741211,47.900001525878906,1,119297,124528
103,47.900001525878906,48.029998779296875,1,119297,124528
104,48.029998779296875,48.189998626708984,1,119297,124528
105,48.189998626708984,48.290000915527344,1,119297,124528
106,48.290000915527344,48.45000076293945,1,119297,124528
107,48.45000076293945,48.81999969482422,1,1,1
108,48.81999969482422,49.04999923706055,1,124915,130362
109,49.04999923706055,49.56999969482422,1,69637,73087
110,49.56999969482422,50.369998931884766,1,175734,183489
111,50.369998931884766,50.619998931884766,1,66611,69962
112,50.619998931884766,50.810001373291016,1,127542,133094
113,50.810001373291016,50.95000076293945,1,119084,124313
114,50.95000076293945,52.939998626708984,1,78783,82534
115,52.939998626708984,53.27000045776367,1,1,1
116,53.27000045776367,54.119998931884766,1,163804,171110
117,54.119998931884766,54.88999938964844,1,1,1
118,54.88999938964844,55.54999923706055,1,103665,108443
